draw by 50 move rule | 8/8/1K2k3/8/8/8/8/4r3 w - - 100 181
draw by insufficient material | 8/8/K7/8/8/1k6/8/8 w - - 0 133
draw by insufficient material | 8/3N4/k7/8/8/8/6K1/3n4 b - - 0 168
draw by insufficient material | 8/k7/8/6K1/8/8/8/8 b - - 0 130
draw by 50 move rule | 8/8/k1B5/8/8/8/5K2/7Q b - - 100 224
draw by 50 move rule | 8/8/2N5/5K2/8/1n6/1k2B3/8 b - - 100 226
draw by insufficient material | 8/8/8/K7/7k/8/8/8 w - - 0 205
draw by insufficient material | 5k2/8/8/2K5/8/8/8/8 b - - 0 129
draw by insufficient material | 5K2/8/8/5k2/8/8/8/8 b - - 0 264
white win | N1Rkq3/1r2p1b1/4B2R/pp4p1/PP1pp3/1Q4P1/4NP2/4K3 b - - 2 34
draw by insufficient material | 2k4N/8/2K5/8/8/8/8/b7 b - - 0 188
black win | 8/p3k2r/P3P3/6p1/2b1P1P1/b4n1p/7P/2r4K w - - 5 65
draw by insufficient material | K7/8/8/8/8/1k6/8/8 w - - 0 186
draw by stalemate | 8/8/8/8/8/1Q2R3/5K2/k7 b - - 8 203
draw by insufficient material | 8/8/8/8/4k3/7K/8/8 w - - 0 151
white win | 3R3k/4R3/1n2P3/8/6B1/7K/8/8 b - - 0 125
draw by insufficient material | B3K1k1/8/8/b7/8/8/8/8 b - - 0 156
draw by insufficient material | 8/3K4/4n3/8/8/7N/8/4k3 w - - 0 129
draw by insufficient material | 6K1/8/1k6/8/8/8/8/8 w - - 0 164
black win | r7/p2pn3/1q2pk1p/1b6/1b1KBPpP/n7/1R2N3/1R6 w - - 4 46
draw by 50 move rule | 1B6/8/k7/6Kp/7P/8/8/8 b - - 100 171
draw by 50 move rule | 8/2K5/8/8/p7/P5k1/8/8 w - - 100 257
draw by insufficient material | 8/8/5k2/3B4/8/4n3/8/6K1 w - - 0 136
draw by insufficient material | 8/8/8/8/6k1/8/8/4K3 b - - 0 155
draw by insufficient material | 8/8/8/8/1k6/8/8/2K5 b - - 0 223
draw by insufficient material | 1K6/8/8/8/8/8/7k/8 b - - 0 278
draw by 50 move rule | 8/8/3n4/8/8/r7/6K1/3k4 b - - 100 238
draw by 50 move rule | 8/8/k3K3/8/r7/8/8/8 w - - 100 206
draw by insufficient material | 8/8/8/8/7K/8/8/k7 w - - 0 182
draw by insufficient material | 8/8/8/8/8/8/5K2/3k4 b - - 0 184
draw by 50 move rule | 6k1/4n3/8/8/8/8/4K3/8 b - - 100 232
draw by 50 move rule | 8/7p/7P/8/K7/5b2/3r4/3k2B1 b - - 100 147
draw by 50 move rule | 8/4k3/8/3K4/4R3/8/8/4b3 b - - 100 253
draw by 50 move rule | 4k3/8/8/8/8/3K4/5N2/8 w - - 100 216
draw by 50 move rule | 3k4/8/8/2p5/p1P5/P7/4K3/8 b - - 100 234
white win | k5R1/3Q4/3P2N1/8/5P1K/6R1/8/8 b - - 10 141
white win | 7k/7Q/5r1p/6PP/P2p2P1/8/2B5/K7 b - - 12 101
draw by 50 move rule | 8/8/1N6/5N2/8/2k2K2/8/8 w - - 100 234
draw by 50 move rule | 3k4/8/2b5/8/3p4/8/4r3/5K2 b - - 100 189
draw by insufficient material | 8/8/1K3k2/1B6/8/8/8/7n w - - 0 177
draw by 50 move rule | 8/1k6/1p6/1P6/5K2/8/8/8 w - - 100 232
draw by insufficient material | 8/8/2k5/8/8/8/8/5K2 b - - 0 257
draw by insufficient material | 8/8/8/2k5/8/6K1/8/8 w - - 0 207
draw by 50 move rule | 7n/8/1p6/pP5k/P7/8/8/K7 w - - 100 140
draw by insufficient material | 7k/8/8/8/8/8/3K4/8 b - - 0 207
draw by 50 move rule | 3k2b1/1K6/8/7p/7P/8/8/8 w - - 100 154
draw by insufficient material | 8/8/8/8/8/8/6K1/2k5 b - - 0 177
black win | 8/8/p1n2Prr/3k4/8/7K/5b2/8 w - - 3 91
draw by stalemate | 8/8/2B5/1P6/7P/4Q3/7K/N4k2 b - - 20 122
draw by insufficient material | 7k/8/8/2N5/3n4/K7/8/8 b - - 0 122
draw by insufficient material | 8/5k2/3K4/B7/8/4b3/8/8 w - - 0 141
draw by 50 move rule | 8/8/8/8/8/2K5/Q7/1k6 b - - 100 259
black win | 6r1/4b3/Bk6/N1ppr3/5q2/7p/8/5K2 w - - 0 67
black win | bn1kr3/2b2p2/R3p1p1/PP1p3p/6P1/B2PPP1N/7q/4Q1RK w - - 0 32
draw by insufficient material | 7k/8/5B2/8/8/8/6K1/3n4 b - - 0 119
draw by 50 move rule | 8/6K1/8/8/8/8/1B6/7k w - - 100 244
draw by 50 move rule | K7/2k5/8/2b5/8/8/8/8 b - - 100 224
draw by insufficient material | 4k3/8/8/8/8/8/8/4K3 w - - 0 195
draw by insufficient material | 8/8/2k5/8/3K4/8/8/8 w - - 0 165
white win | 8/8/1R6/R7/3P1P2/4p3/k1K4b/8 b - - 29 113
draw by insufficient material | 7K/8/8/8/6k1/8/8/8 w - - 0 258
black win | 2n5/2Nbk3/8/P3Kn2/Pppq3P/R7/6r1/8 w - - 2 47
white win | 2k4R/5R2/8/7P/5K2/1P6/B7/1N6 b - - 2 113
draw by insufficient material | 8/8/K7/8/8/8/8/5k2 b - - 0 176
draw by 50 move rule | 8/8/8/3b4/8/3K4/6k1/8 b - - 100 215
draw by 50 move rule | 8/8/8/8/5n2/5K2/7k/8 w - - 100 207
draw by insufficient material | 6k1/8/3b4/8/8/3K4/7N/8 w - - 0 176
draw by 50 move rule | 8/2k5/b7/8/8/5K2/8/8 w - - 100 230
draw by insufficient material | 8/8/8/8/4k3/K7/8/8 w - - 0 223
draw by 50 move rule | 2K5/8/8/8/4k3/8/8/3N4 b - - 100 240
black win | 8/8/8/8/8/6bk/8/r5K1 w - - 8 157
draw by 50 move rule | 8/b4k2/8/8/B2bN3/8/8/2K5 w - - 100 163
black win | 1B3R2/5p2/8/n1p2b2/5PR1/1p3k2/7P/3r2KN w - - 5 93
draw by insufficient material | 8/4k3/1K6/8/8/2N5/8/3n4 w - - 0 159
draw by 50 move rule | 8/8/k7/8/K3b3/8/7n/8 b - - 100 198
draw by insufficient material | 8/8/8/8/8/1k2K1n1/7N/8 w - - 0 172
draw by insufficient material | K7/8/8/2k2B2/8/8/5n2/8 w - - 0 122
draw by insufficient material | 8/1N6/8/8/8/K2n4/8/6k1 w - - 0 164
draw by 50 move rule | 8/8/3B4/8/8/7K/1k6/8 b - - 100 253
draw by insufficient material | 4K3/8/8/8/8/4k3/8/8 w - - 0 256
draw by 50 move rule | 4K2B/8/8/8/8/8/8/2k5 w - - 100 268
