draw by 50 move rule | 2k1n3/8/7n/1K6/8/8/8/8 b - - 100 245
draw by insufficient material | 8/8/8/7K/8/8/8/4k3 b - - 0 187
draw by insufficient material | 1K6/8/2B1k3/8/8/8/8/8 w - - 0 216
draw by insufficient material | 6B1/8/8/2K5/8/1k6/8/8 b - - 0 200
draw by 50 move rule | 8/8/4k3/8/8/8/2K5/7R w - - 100 247
draw by insufficient material | 2k2K2/8/8/1B6/8/8/8/8 b - - 0 137
draw by 50 move rule | 8/8/8/K7/5p1p/2k2P1P/8/8 b - - 100 195
draw by insufficient material | 8/3k4/8/8/1B6/8/4b1K1/8 w - - 0 128
draw by stalemate | 7N/3P4/2B5/8/5RP1/1k6/8/K1Q5 b - - 3 134
draw by 50 move rule | 8/1k5K/n7/8/3n4/8/8/6b1 w - - 100 220
draw by insufficient material | 8/2N3k1/8/8/8/6K1/8/8 w - - 0 217
draw by insufficient material | 8/8/8/6K1/8/6B1/2k5/8 w - - 0 180
draw by insufficient material | 8/k3K3/8/8/8/5n2/8/8 w - - 0 146
draw by insufficient material | 8/8/8/8/3k4/8/2K5/8 b - - 0 178
draw by insufficient material | 8/8/8/8/8/3B1k2/1K6/8 b - - 0 154
draw by insufficient material | 3b4/3B4/8/5K2/8/8/8/2k5 b - - 0 156
draw by insufficient material | 8/K7/8/k7/8/8/3b4/8 b - - 0 143
draw by 50 move rule | 8/8/8/1k6/8/6r1/2b5/5K2 w - - 100 200
draw by insufficient material | 8/8/6n1/8/5k2/3K4/8/8 b - - 0 186
draw by 50 move rule | 8/8/4b3/1k5r/8/4K3/8/8 w - - 100 172
draw by insufficient material | 8/8/2k5/8/K7/8/6N1/8 b - - 0 199
draw by insufficient material | 1k6/5K2/8/8/8/8/1b6/8 b - - 0 177
draw by insufficient material | 8/8/2k5/8/6K1/8/4n3/8 w - - 0 179
draw by insufficient material | 8/8/2K5/k7/3B4/8/8/8 w - - 0 151
draw by insufficient material | 5k2/1N6/8/8/8/8/K3b3/8 b - - 0 124
draw by 50 move rule | 6K1/8/8/r7/8/8/8/1k6 w - - 100 240
draw by insufficient material | 5B2/8/8/8/4K3/6k1/8/8 w - - 0 110
draw by insufficient material | 8/7K/8/1k6/8/8/8/8 b - - 0 235
draw by insufficient material | 8/5K2/8/8/8/6k1/8/8 w - - 0 191
draw by insufficient material | 8/8/8/6K1/8/8/6k1/8 w - - 0 193
draw by insufficient material | 8/8/8/8/2k2K2/3B4/8/6b1 b - - 0 204
white win | 1r6/p4Bpp/P2r3k/R5P1/2PB4/4Pp2/8/1n5K b - - 0 67
draw by stalemate | 8/8/8/8/8/7q/4k3/6K1 w - - 52 152
draw by 50 move rule | 5k2/8/8/8/p7/P2K4/8/8 b - - 100 198
draw by insufficient material | 8/8/5k2/8/8/4KN2/8/8 w - - 0 208
draw by insufficient material | 8/8/8/8/K6k/8/8/8 w - - 0 233
draw by insufficient material | 8/8/8/8/1K1k4/8/4B3/8 w - - 0 189
draw by 50 move rule | 1k6/8/8/8/r7/2K5/8/8 w - - 100 197
draw by insufficient material | 8/8/8/6k1/8/1K6/8/8 w - - 0 193
draw by stalemate | 8/8/8/6b1/3p4/1p6/5k2/3K4 w - - 1 119
draw by insufficient material | 8/8/8/6k1/8/8/6K1/8 b - - 0 200
draw by insufficient material | 8/8/2k5/4K3/8/8/8/3b2B1 w - - 0 120
draw by insufficient material | 5k2/8/8/8/8/8/2K5/8 w - - 0 208
draw by insufficient material | 8/8/k5n1/8/3B4/K7/8/8 w - - 0 165
draw by 50 move rule | 2k5/7b/8/1K3b2/8/8/7n/8 w - - 100 190
draw by 50 move rule | 8/5k2/8/p7/p7/P7/8/6K1 b - - 100 227
white win | 2k2R2/4Q1p1/3P3p/1Np1p3/rPP3P1/1P3P1q/1K2P3/2B5 b - - 0 51
draw by insufficient material | 7B/8/8/8/7k/4n3/8/6K1 w - - 0 181
draw by 50 move rule | 8/8/8/b3qk2/7K/8/8/2B5 w - - 100 178
draw by insufficient material | 8/8/8/8/8/8/8/1k3K2 w - - 0 139
draw by insufficient material | 8/8/2K3k1/8/8/8/8/8 w - - 0 236
draw by insufficient material | 4k3/8/K7/8/8/8/8/8 b - - 0 150
draw by insufficient material | 1K6/8/8/8/6n1/8/k7/8 b - - 0 220
draw by 50 move rule | 8/Bk6/8/8/8/8/2K5/1N6 b - - 100 217
draw by insufficient material | 3B4/8/8/8/8/8/1k6/6K1 w - - 0 148
draw by insufficient material | 8/4k3/8/8/1K6/8/8/3B4 w - - 0 183
draw by insufficient material | 6K1/8/8/8/5k2/8/4B3/7n w - - 0 177
draw by 50 move rule | 6k1/8/1K6/7p/7P/8/8/8 w - - 100 330
draw by 50 move rule | 1k6/8/5K2/8/8/8/5BR1/8 b - - 100 177
draw by insufficient material | 8/8/8/8/8/2k5/8/7K w - - 0 132
draw by insufficient material | 6K1/8/5Nk1/8/8/8/8/8 w - - 0 196
draw by insufficient material | 7b/8/7k/8/5K2/8/8/8 b - - 0 200
draw by insufficient material | 8/8/3b4/5k2/3K4/8/N7/8 w - - 0 207
draw by insufficient material | 8/8/8/3k1B2/8/8/5K2/8 w - - 0 199
draw by insufficient material | 8/8/2n5/8/6B1/3k4/1K6/8 w - - 0 205
draw by insufficient material | 8/8/5K2/7B/2k5/8/8/8 w - - 0 150
draw by insufficient material | 8/1K6/7k/8/8/8/8/b7 w - - 0 253
draw by stalemate | 3k4/2R5/8/1N6/1PK5/8/8/4R3 b - - 7 105
draw by insufficient material | 8/7K/3k4/8/8/8/8/8 b - - 0 187
draw by stalemate | 8/8/7K/8/8/k7/3Q4/3B4 b - - 64 183
draw by stalemate | 8/8/8/8/8/5R2/7Q/2K1k3 b - - 18 175
draw by insufficient material | 8/2B5/3K4/6k1/8/8/8/8 b - - 0 185
white win | 6RN/8/8/2P4k/8/7Q/B7/2K5 b - - 44 142
draw by 50 move rule | 8/B7/8/1K6/8/8/1kB5/8 w - - 100 215
black win | 4r1nr/6Qp/5p2/p2knb2/1b1P3P/1PK1PPN1/PB4B1/RNR5 w - - 1 33
draw by insufficient material | n7/1k6/8/8/8/8/8/1K6 b - - 0 159
draw by insufficient material | 8/8/8/2k5/8/8/7K/8 w - - 0 157
draw by insufficient material | 8/8/N7/8/4k3/8/8/2K5 w - - 0 155
draw by insufficient material | 8/8/8/7k/3K4/8/b7/8 b - - 0 241
draw by insufficient material | 8/2K5/2N5/8/8/k7/8/8 w - - 0 217
draw by insufficient material | 8/4B3/8/8/8/3K4/8/4k3 b - - 0 146
draw by insufficient material | 8/8/8/7K/8/8/k7/8 b - - 0 291
