draw by insufficient material | 3k4/8/8/8/2K5/8/2B5/8 b - - 0 178
draw by 50 move rule | 8/8/8/8/6N1/3N4/4K2k/8 b - - 100 188
draw by insufficient material | 8/8/8/8/8/1K6/8/6k1 b - - 0 158
draw by insufficient material | 8/1k6/8/5K2/2B5/8/8/8 w - - 0 214
draw by insufficient material | 8/8/3k4/8/8/1B6/5K2/8 w - - 0 136
draw by insufficient material | 8/8/4N1n1/k7/8/5K2/8/8 b - - 0 165
draw by insufficient material | B7/8/2K5/8/8/8/8/5k1n w - - 0 162
draw by insufficient material | 8/2k3N1/8/8/K7/8/8/8 w - - 0 182
draw by insufficient material | 8/8/6k1/8/8/8/2K5/8 w - - 0 141
white win | 2bqk2r/1ppnpQ2/r2pP1pN/p7/2nP1P2/B1N3PB/P6P/R3K2R b KQk - 5 19
draw by insufficient material | 8/8/8/8/2K5/8/1k6/1N6 w - - 0 199
draw by insufficient material | 7N/8/2K5/8/4k3/8/8/8 w - - 0 172
draw by insufficient material | 2N5/8/k7/6n1/8/4K3/8/8 b - - 0 156
white win | 4Q1k1/5R2/7B/8/3r1n2/1b5p/5R2/1K2b3 b - - 11 76
draw by insufficient material | 8/8/8/4K3/7k/8/8/8 b - - 0 197
draw by threefold repitition | 8/2k5/8/7K/8/1p1p4/8/8 w - - 8 184
draw by insufficient material | 8/7N/8/4K3/8/8/8/2k5 w - - 0 182
draw by insufficient material | 2k5/7K/8/3b4/8/8/3B4/8 w - - 0 105
draw by insufficient material | 5k2/8/3K4/8/8/8/n7/8 b - - 0 152
draw by insufficient material | 8/8/5K2/8/5b2/8/8/6k1 w - - 0 147
white win | rn1qk1Q1/3pb3/3P1p2/ppp1R3/6Pp/2P1PN2/PPK2PbP/1N3B1R b - - 7 23
draw by insufficient material | 8/8/7k/8/3K4/8/8/8 w - - 0 228
draw by 50 move rule | 8/3N4/8/8/8/p3k1B1/P7/6K1 w - - 100 193
draw by insufficient material | 4b3/2k5/8/5K2/8/8/8/8 b - - 0 174
draw by 50 move rule | 8/8/8/4k3/3r4/8/8/5K2 b - - 100 213
